Name,Rank,Fire Department,Date of Death,Location on Memorial
Richard D. Buongiorne,Firefighter,Kendall Fire Department,01/10/2001,16 Bottom
Richard Dewling,Ex-Chief,South Hempstead Fire Department,03/06/1947,  2 Bottom
"Richard D. Weisse, Sr. ",Firefighter ,St. James Fire Department ,11/15/2014,17 Top
"Richard E. Gleason, Sr.",Firefighter,Mohegan Lake Fire Department,07/09/1993,10 Top
Richard E. McGuire ,Battalion Chief ,New York City Fire Department ,12/09/2012,  2 Top
Richard E. Nogan ,Firefighter ,New York City Fire Department ,12/20/2014,21 Top
Richard Farrell,Lieutenant Fire Police,South Schodack Fire Department,06/25/1997,10 Top
Richard Gelke,Firefighter,New York City Fire Department,01/15/1958,13 Top
Richard G. Sale,Firefighter,New York City Fire Department,06/19/1986,12 Top
Richard G. Sullivan    ,Chief    ,Horseheads Fire Department    ,04/05/2006,  9 Top
Richard Hellberg,Firefighter,Miller Place Fire Department,01/01/1978,  9 Top
Richard J. Joyce,Lieutenant,New York City Fire Department,12/21/1903,13 Bottom
"Richard J. Kelly, Jr. ",Firefighter,New York City Fire Department,09/11/2001,  6 Top
Richard J. Serla,Chief,Syosset Fire Department,07/01/1990,11 Top
"Richard J. Smith, III",Firefighter,New York City Fire Department,01/11/1982,12 Top
Richard Laden,Firefighter,Richfield Springs Fire Department,01/01/1980,  9 Top
Richard MacClave,Lieutenant,New York City Fire Department,11/26/1957,13 Top
Richard Marion,Firefighter,Buffalo Fire Department,02/02/1889,15 Bottom
Richard M. Burke ,Lieutenant ,New York City Fire Department ,08/13/2005,20 Bottom
Richard M. Powers,Firefighter,Hempstead Fire Department,06/07/1932,20 Top
Richard Murdock,Firefighter,Schuyler Lake Fire Department,01/01/1984,12 Top
Richard P. Gifford,Firefighter,New York City Fire Department,10/26/1962,12 Bottom
Richard Provost,Ex-Captain,Garden City Park Fire Department,04/30/1977,  8 Top
Richard S. Ritchie,Firefighter,New York City Fire Department,05/26/1836,20 Bottom
Richard Sweeney,1st Assistant Chief,Johnstown Fire Department,01/15/1965,  5 Bottom
Richard Sycz,Firefighter,Greenport Fire Department,01/01/1977,  8 Top
"Richard T. Muldowney, Jr.",Firefighter,New York City Fire Department,09/11/2001,10 Bottom
Richard T. Sclafani,Firefighter,New York City Fire Department,01/24/2005,20 Top
Richard VanWert,Chief,Schaghticoke Fire Department,12/10/1999,17 Bottom
Richard W. Beck,Firefighter,Owego Fire Department,07/09/1993,10 Top
Richard W. Holst    ,Fire Police Captain    ,Huntington Manor Fire Department      ,09/09/2009,  1 Bottom
Richard W. Schultz,Firefighter,New York City Fire Department,05/31/1959,13 Top
Robert A. Ford ,Firefighter ,New York City Fire Department ,10/29/2009,   1 Top
Robert A. Klineline,Firefighter,Lockport Fire Department,06/18/1981,  2 Bottom
Robert A. Knight ,Firefighter ,Sayville Fire Department ,05/01/2014,18 Top
Robert A. Meill,Firefighter,New York City Fire Department,07/01/1961,12 Bottom
Robert A. Shea,Firefighter,Babylon Fire Department,01/23/1991,11 Top
Robert Beddia,Firefighter,New York City Fire Department,08/18/2007,21 Top
Robert B. Gooding,Firefighter,Fairview Fire Department,01/01/1983,12 Top
Robert B. Pagels,Driver,Tonawanda Fire Department,02/28/1928,16 Bottom
Robert Brunner,Firefighter,Buffalo Fire Department,01/03/1968,  9 Bottom
Robert Calladine,1st Assistant Chief,Niagara Falls Fire Department,02/13/1954,14 Top
Robert C. Ayers,Past Chief,West Corners Fire Department,09/12/1984,12 Top
Robert C. Davidson,Firefighter,New York City Fire Department,04/22/1951,14 Top
Robert Cordice,Firefighter,New York City Fire Department,09/11/2001,21 Bottom
"Robert C. Pettit, Jr.",Firefighter,New York City Fire Department,12/15/1944,16 Top
Robert Curatolo,Firefighter,New York City Fire Department,09/11/2001,21 Top
Robert D. McMahon,Firefighter,New York City Fire Department,09/11/2001,17 Bottom
Robert E. Costa,Firefighter,Fonda Fire Department,01/01/1981,12 Top
Robert E. Evans,Firefighter,New York City Fire Department,09/11/2001,20 Bottom
Robert E. Leaver ,Firefighter ,New York City Fire Department ,09/22/2014,  1 Bottom
Robert E. Nagel,Lieutenant,New York City Fire Department,09/11/2001,17 Bottom
Robert E. Newman ,Firefighter ,New York City Fire Department ,02/09/2017,14 Top
Robert E. Parro,Firefighter,New York City Fire Department,09/11/2001,16 Bottom
"Robert E. Reed, Jr.",Firefighter,East Meadow Fire Department,01/26/1981,  9 Top
Robert E. Rummel,Lieutenant,New York City Fire Department,10/16/1950,15 Top
Robert E. Shuler,Firefighter,Syracuse Fire Department,04/09/1978,  9 Top
Robert F. Coates,Firefighter,Crystal Beach Fire Department,01/01/1981,  9 Top
Robert F. Cushing,Firefighter,Patchogue Fire Department,07/06/1988,11 Top
Robert F. DiGiovanni ,Firefighter ,New York City Fire Department,01/27/2017,   8 Top
Robert F. Gilmer,Truckman,Albany Fire Department,01/23/1895,14 Bottom
Robert Fowler,Firefighter,Spencerport Fire Department,02/22/1997,10 Top
Robert F. Peters,Lieutenant,Hastings On The Hudson Fire Department,08/29/1998,10 Top
Robert F. Wallace,Lieutenant,New York City Fire Department,09/11/2001,13 Bottom
Robert G. Alford ,Lieutenant ,New York City Fire Department ,03/22/2016,21 Bottom
"Robert G. Brooks, Sr.",Firefighter,Montgomery Volunteer Fire Department,03/28/2005,   1 Top
Robert G. Courtnay,Lieutenant,New York City Fire Department,11/21/1978,  8 Bottom
Robert G. Gates,Firefighter,New York City Fire Department,08/14/1943,16 Top
"Robert Hause, Sr.",Firefighter,Newark Fire Department,01/01/1979,  9 Top
Robert H. Dayton,Lieutenant,Port Washington Fire Department,11/26/1988,11 Top
Robert H. Hathaway,Chief,Branchport Fire Department,01/08/1997,10 Top
Robert J. Cahill,Lieutenant,New York City Fire Department,02/17/1982,12 Top
Robert J. Cassidy,Ex-Assistant Chief ,Shushan Fire Department,10/04/1987,11 Top
Robert J. Cramer,Firefighter,Beacon Fire Department,01/29/1955,  8 Bottom
Robert J. Crawford,Firefighter,New York City Fire Department,09/11/2001,19 Bottom
Robert J. Denney,Firefighter,New York City Fire Department,10/11/1960,13 Top
Robert J. Foti,Firefighter,New York City Fire Department,09/11/2001,18 Bottom
Robert J. Hassett,Firefighter,Bethpage Fire Department,05/25/1978,  9 Top
Robert J. McCarthy,Lieutenant,Syracuse Fire Department,07/12/1959,13 Top
Robert J. Minara,Firefighter,New York City Fire Department,09/11/2001,19 Bottom
Robert J. Moloney,Firefighter,Inwood Fire Department,04/27/1946,15 Top
Robert J. Ryan,Lieutenant,New York City Fire Department,11/23/2008,  9 Top
"Robert J. Schnibbe, Jr.",Battalion Chief,Westchester Battalion 14,03/03/2006,  2 Bottom
Robert J. Stegmeier ,Lieutenant ,New York City Fire Department ,02/16/2012,  5 Bottom
Robert J. Ventriglia ,Firefighter ,New York City Fire Department ,11/02/2010,20 Bottom
Robert J. Wieber ,Firefighter ,New York City Fire Department  ,10/31/2006,18 Bottom
"Robert King, Jr.",Firefighter,New York City Fire Department,09/11/2001,19 Bottom
"Robert L. Goodrich, Sr.",Firefighter,Chester Fire Department,01/27/1988,11 Top
Robert L. Hitchcock,Assistant Chief,Blenheim Fire Department,03/13/1990,11 Top
Robert Linder,Firefighter,Holbrook Fire Department,01/01/1957,13 Top
Robert Lucier,Firefighter,Alplaus Fire Department,08/18/1991,11 Top
"Robert MacNish, Jr.",Ex-Chief,Austerlitz Fire Department,05/09/1976,  3 Top
Robert Mahl,Firefighter,New York City Fire Department,09/09/1941,17 Top
Robert Malmsheimer,Firefighter,Lindenhurst Fire Department,01/01/1969,  9 Bottom
Robert McDougall,Firefighter,New York City Fire Department,07/25/1883,15 Bottom
Robert M. Hess ,Lieutenant ,New York City Fire Department ,05/02/2010,  3 Top
Robert Minnis,Driver,Buffalo Fire Department,05/19/1905,  3 Bottom
Robert M. Regan,Lieutenant,New York City Fire Department,09/11/2001,15 Bottom
Robert M. Tilearcio ,Firefighter ,New York City Fire Department ,10/25/2017,21 Top
Robert Niebling,Lieutenant,New York City Fire Department,10/22/1965,11 Bottom
Robert Parks,Firefighter,Randolph Fire Company,07/12/1935,10 Bottom
Robert Pitt,Past Chief,Spring Valley Fire Department,12/06/1964,20 Bottom
Robert Pryor,Captain,East Rockaway Fire Department,10/10/1970,  7 Top
Robert R. Dolney,Firefighter,New York City Fire Department,03/05/1980,  9 Top
Robert R. Hurst,Firefighter,New York City Fire Department,11/22/1961,12 Bottom
Robert Robinson,Driver,Buffalo Fire Department,06/08/1915,  3 Top
Robert R. Wines,Past Chief,Sayville Fire Department,11/09/1979,  9 Top
Robert Schneider,Firefighter,Buffalo Fire Department,01/23/1891,14 Bottom
Robert Sharp,Firefighter,Cicero Fire Department,07/19/1963,11 Bottom
Robert Sherman,Firefighter,Montezuma Fire Department,01/01/1980,  9 Top
Robert Suckow,Firefighter,West Sayville Fire Department,02/25/1968,  7 Top
Robert T. Lane,Firefighter,New York City Fire Department,09/11/2001,21 Bottom
Robert T. Linnane,Firefighter,New York City Fire Department,09/11/2001,19 Bottom
Robert T. Smullen,Firefighter,New York City Fire Department,03/19/1966,11 Bottom
Robert Ulrich,Firefighter,Buffalo Fire Department,01/01/1984,12 Top
Robert V. Buffham,Firefighter,Lockport Fire Department,02/08/1925,  4 Top
Robert W. Alexander ,Marine Engineer ,New York City Fire Department ,08/14/2017,16 Top
Robert W. Dillon ,Firefighter ,New York City Fire Department ,04/30/2003,  1 Top
Robert W. Hamilton,Firefighter,New York City Fire Department,09/11/2001,18 Bottom
Robert Wintringham,Firefighter,New York City Fire Department,08/24/1865,17 Bottom
Robert W. Johnson ,Firefighter ,New York City Fire Department ,04/10/2016,19 Bottom
Robert W. Johnston,Firefighter,New York City Fire Department,12/31/1943,16 Top
Robert W. Lane,Firefighter,New York City Fire Department,04/09/1943,16 Top
Robert W. McPadden,Firefighter,New York City Fire Department,09/11/2001,18 Top
"Robert W. Spear, Jr.",Firefighter,New York City Fire Department,09/11/2001,10 Bottom
Rodman G. Chrysler,Lieutenant,New York City Fire Department,06/26/1957,13 Top
Roger D. Snyder,Lieutenant,Kingston Fire Department,11/19/1988,11 Top
Romano Petrucco,Firefighter,Homer Fire Department,12/14/1981,12 Top
Ronald C. DooLittle,Firefighter,Campbell Hall Fire Department,04/13/1970,  7 Top
Ronald D. Biller ,Lieutenant ,New York City Fire Department ,09/18/2016,18 Bottom
Ronald F. Warren,Firefighter,Geneva Fire Department,05/16/1980,  9 Top
Ronald G. Bazoge,Firefighter,Medford Fire Department,01/22/1982,12 Top
Ronald J. Keddie,Firefighter,Sheridan Fire Department,06/27/2012,10 Top
Ronald L. O’Rourke,Captain,Roosevelt Fire Department,01/04/1993,10 Top
Ronald P. Bucca,Fire Marshal,New York City Fire Department,09/11/2001,17 Bottom
Ronald P. Svec ,Firefighter ,New York City Fire Department,02/02/2018,20 Bottom
Ronald R. Brenneisen ,Firefighter ,New York City Fire Department ,09/12/2014,  1 Bottom
Ronald T. Kerwin,Lieutenant,New York City Fire Department,09/11/2001,21 Bottom
Ronald T. Kreamer,Firefighter,Frontier Fire Department,08/13/2001,18 Bottom
Ronald Wannamaker,Firefighter,New York City Fire Department,01/01/1982,12 Top
"Ronald W. Svoboda, Jr.",Firefighter,Chenango Fire Department,08/31/1987,11 Top
Ronald W. Thomas,Firefighter,Wellsville Volunteer Fire Department,04/29/2007,  1 Bottom
Ronnie E. Gies,Lieutenant,New York City Fire Department,09/11/2001,19 Bottom
Ronnie L. Henderson,Firefighter,New York City Fire Department,09/11/2001,15 Bottom
Ross E. Huffer ,Firefighter ,Nesconset Fire Department ,02/27/2014,14 Top
Roy E. Smith ,Firefighter ,New York City Fire Department,04/02/2017,19 Top
Roy W. Chelsen ,Firefighter ,New York City Fire Department ,01/09/2011,21 Bottom
Roy W. Dodge,Firefighter,Buffalo Fire Department,06/16/1949,20 Top
Rozel T. Rice,Firefighter,Dayton Fire Department,01/01/1976,  8 Top
Ruben D. Correa,Firefighter,New York City Fire Department,09/11/2001,21 Top
Ruby Naturman,Firefighter,New York City Fire Department,10/13/1956,13 Top
Rudolf Bethge,Firefighter,Buffalo Fire Department,12/11/1932,21 Top
Rudolph F. Kaminsky,Firefighter,New York City Fire Department,10/17/1966,  2 Bottom
Rudolph M. Lutz,Firefighter,Snyder Fire Department,10/07/1956,  7 Bottom
Russell C. Brinkworth ,Firefighter,New York City Fire Department ,08/26/2003,  1 Top
Russell E. Dunham,Firefighter,Highland Fire Department,07/16/1991,11 Top
Russell H. Dixon,Firefighter,Alden Hook and Ladder Fire Company,12/06/1984,12 Top
Russell Moll,Firefighter,Stony Brook Fire Department,01/01/1927,  5 Top
Russell T. Linneball,Firefighter,New York City Fire Department,10/29/1974,  8 Top
Russell W. Wilkinson,Firefighter,Lancaster Volunteer Fire Department,04/21/1951,18 Bottom
Ryan T. Barker,Firefighter,West Hill Fire Department,07/08/2008,  1 Top
Salvatore B. Calabro,Firefighter,New York City Fire Department,09/11/2001,20 Bottom
Salvatore Deiosso,Engineer,Roslyn Fire Department,10/09/1965,  8 Top
Salvatore N. Galasso,Firefighter,White Plains Fire Department,07/31/1954,14 Top
Salvatore Scarentino ,Firefighter ,New York City Fire Department ,03/21/2009,21 Top
Sam Sabeido,Firefighter,Selden Fire Department,06/19/1938,  9 Bottom
Samuel A. Schiller,Firefighter,New York City Fire Department,07/31/1954,14 Top
Samuel Brown,Captain,New York City Fire Department,03/26/1920,  6 Top
Samuel Christopher,Firefighter,Buffalo Fire Department,01/01/1984,12 Top
Samuel Crosley,Firefighter,Ilion Fire Department,04/17/1913,10 Bottom
Samuel D. Carbone,Firefighter,Massena Fire Department,06/04/1987,11 Top
Samuel Lilley,Firefighter,New York City Fire Department,03/30/1905,  2 Bottom
Samuel L. Levine,Battalion Chief,New York City Fire Department,03/21/1967,  9 Bottom
Samuel McHahon,Firefighter,New York City Fire Department,08/08/1889,15 Bottom
Samuel P. Oitice,Firefighter,New York City Fire Department,09/11/2001,19 Bottom
Samuel R. Doherty,Firefighter,New York City Fire Department,11/28/1949,15 Top
Santo Caracciolo,Firefighter,Long Beach Fire Department,01/01/1956,13 Top
Scott A. Larsen,Firefighter,New York City Fire Department,09/11/2001,21 Top
Scott J. LaPiedra,Captain,New York City Fire Department,07/04/1998,10 Top
Scott Kopytko,Firefighter,New York City Fire Department,09/11/2001,21 Bottom
Scott M. Davidson,Firefighter,New York City Fire Department,09/11/2001,17 Bottom
Scott Pfaff,Firefighter,Tarrytown Fire Department,01/01/1986,12 Top
Scott T. Laverty,Firefighter,Hempstead Fire Department,06/06/1991,11 Top
Sean McGuire,Firefighter,Vails Gate Fire Department,02/14/1986,12 Top
Sean M. McCarthy ,Firefighter ,New York City Fire Department ,05/27/2008,  1 Top
Sean P. Tallon,Firefighter,New York City Fire Department,09/11/2001,16 Bottom
Sean S. Hanley,Firefighter,New York City Fire Department,09/11/2001,20 Top
Sergio G. Villanueva,Firefighter,New York City Fire Department,09/11/2001,13 Bottom
Shawn E. Powell,Firefighter,New York City Fire Department,09/11/2001,14 Bottom
Sheldon Barocas ,Captain ,New York City Fire Department ,12/19/2011,  5 Bottom
Sherman Smith,Firefighter,Valley Stream Fire Department,09/09/1971,  7 Top
Sigurd J. Jansen,Firefighter,North Babylon Fire Department,01/01/1946,15 Top
Stanley F. Kaminski,Firefighter,Langford - New Oregon Fire Department,05/26/1997,10 Top
Stanley H. Skinner,Firefighter,New York City Fire Department,02/08/1976,  8 Top
Stanley L. Duda,Firefighter,Syracuse Fire Department,04/09/1978,  9 Top
Stanley M. Waite,Firefighter,Cossayuna Fire Department,01/01/1980,  9 Top
Stanley Nowakowski,Firefighter,New Hyde Park Fire Department,02/06/1954,18 Top
Stanley Pawlowski,Firefighter,Elmont Fire Department,01/01/1970,  8 Bottom
Stanley Powell,Firefighter,Best-Luther Fire Department,01/19/1975,19 Bottom
"Stanley S. Smagala, Jr.",Firefighter,New York City Fire Department,09/11/2001,10 Bottom
Stephen Barry,Firefighter,Baldwin Fire Department,01/01/1975,  8 Top
Stephen C. Auditore,Firefighter,New York City Fire Department,10/18/1943,16 Top
Stephen D. Rooney,Lieutenant,New York City Fire Department,03/13/1958,13 Top
Stephen Dyczko,Captain,New York City Fire Department,12/11/1959,13 Top
Stephen E. Belson,Firefighter,New York City Fire Department,09/11/2001,  9 Bottom
Stephen F. Sulzinski,Firefighter,Hicksville Fire Department,10/29/1995,10 Top
Stephen G. Gavin,Lieutenant,Owego Fire Department,09/02/2003,  4 Bottom
Stephen G. Harrell,Lieutenant,New York City Fire Department,09/11/2001,14 Bottom
Stephen G. Siller,Firefighter,New York City Fire Department,09/11/2001,  8 Bottom
Stephen J. Butch,Firefighter,New York City Fire Department,04/19/1945,16 Top
Stephen J. Finn,Firefighter,New York City Fire Department,11/17/1920,  6 Top
Stephen J. Glynn,Hoseman,Albany Fire Department,07/22/1904,  3 Bottom
Stephen J. Marangas,Firefighter,New York City Fire Department,04/20/1945,16 Top
Stephen Meegan,Firefighter,Buffalo Fire Department,01/28/1907,  6 Bottom
Stephen M. Johnson ,Firefighter ,New York City Fire Department ,08/06/2004,20 Bottom
Stephen P. Russell,Firefighter,New York City Fire Department,09/11/2001,16 Top
"Stephen T. Ray, Jr.",Firefighter,New York City Fire Department,06/06/1911,  5 Bottom
Stephen Wade,Firefighter,Oceanside Fire Department,06/13/1986,12 Top
Steve A. Williamson,Firefighter,New York City Fire Department,02/22/1927,  5 Top
Steve J. Mercado,Firefighter,New York City Fire Department,09/11/2001,  8 Bottom
Steven B. Reisman ,Lieutenant ,New York City Fire Department ,06/01/2014,18 Bottom
Steven C. Mosiello ,Fire Marshal ,New York City Fire Department ,07/15/2011,  4 Bottom
Steven Coakley,Firefighter,New York City Fire Department,09/11/2001,  6 Bottom
Steven J. Bates,Lieutenant,New York City Fire Department,09/11/2001,  6 Bottom
Steven J. Olson,Firefighter,New York City Fire Department,09/11/2001,  5 Bottom
Steven Sorger,Lieutenant ,New York City Fire Department ,03/11/2017,  4 Top
Stewart W. Powell,Firefighter,Norwood Volunteer Fire Department,07/12/1943,  4 Bottom
Tammy M. Hanno,Firefighter/EMT ,Turin Fire Company,12/12/1995,  8 Bottom
Tarel Coleman,Firefighter,New York City Fire Department,09/11/2001,  4 Top
Tempest Hunter,Firefighter,Nanuet Fire Engine Company,03/12/1967,  7 Top
Terence P. McShane,Firefighter,New York City Fire Department,09/11/2001,  3 Bottom
Terence S. Hatton,Captain,New York City Fire Department,09/11/2001,  4 Bottom
Terrance P. Conaty,Division Chief,New York City Fire Department,02/01/1953,14 Top
Terrell A. Reeve,Firefighter,East Moriches Fire Department,01/01/1972,  7 Top
Terrence P. Farrell,Firefighter ,New York City Fire Department,09/11/2001,  1 Bottom
Thaddius Connolly ,Firefighter,New York City Fire Department,07/27/1932,20 Top
Theodore F. Freed,Lieutenant,Rochester Fire Department,05/15/1968,  9 Bottom
Theodore Fitzgerald,Lieutenant,Rochester Fire Department,04/28/1905,  2 Bottom
Theodore F. Knote,Lieutenant,New York City Fire Department,10/23/1959,13 Top
Theodore Hilsinger,Lieutenant,Homer Fire Department,12/15/1989,11 Top
Theodore J. Abriel,Acting Lieutenant,Albany Fire Department,02/19/2007,20 Bottom
Theodore J. O’Donnell,Firefighter,Albany Fire Department,01/21/1955,14 Top
Theodore Wisniewski,Firefighter,Gardiner Fire Department,02/25/1957,15 Top
Thomas A. Bowler,Lieutenant,New York City Fire Department,01/15/1934,19 Top
Thomas A. Casoria,Firefighter,New York City Fire Department,09/11/2001,  7 Top
Thomas A. Gardner,Firefighter,New York City Fire Department,09/11/2001,  3 Bottom
Thomas A. Lynn ,Firefighter ,New York City Fire Department ,10/23/2015,  6 Top
Thomas A. Reilly,Deputy Chief,New York City Fire Department,10/17/1966,11 Bottom
Thomas A. Williams,Lieutenant,New York City Fire Department,02/25/1992,11 Top
Thomas A. Wylie,Firefighter,New York City Fire Department,01/03/1995,10 Top
Thomas Barragry,Firefighter,New York City Fire Department,12/24/1938,18 Top
Thomas Beagle,Chief,Solvay Fire Department,08/15/1960,  7 Bottom
Thomas Behan,Firefighter,New York City Fire Department,09/12/1921,  6 Top
Thomas Blackburne,Lieutenant,New York City Fire Department,07/26/1942,17 Top
Thomas B. Rice,Past Chief,Perry Fire Department,11/09/1998,10 Top
Thomas Carrigan,Battalion Chief,New Rochelle Fire Department,11/10/1962,  7 Bottom
Thomas Casey,Firefighter,New York City Fire Department,10/08/1958,13 Top
Thomas C. Brick,Firefighter,New York City Fire Department,12/16/2003,  4 Top
Thomas C. Moody,Captain,New York City Fire Department,09/11/2001,19 Top
Thomas Cox,Firefighter,New York City Fire Department,07/26/1860,17 Bottom
"Thomas Cummings, Jr.",Firefighter,Saratoga Springs Fire Department,09/18/1965,11 Bottom
Thomas D. Hassett,Firefighter,New York City Fire Department,02/13/1922,  6 Top
Thomas Donlon,Firefighter,Buffalo Fire Department,12/27/1902,13 Bottom
"Thomas Dorr, Sr.",Firefighter,Pleasantville Fire Department,01/07/1996,10 Top
Thomas Dunleavy,Firefighter,New York City Fire Department,08/25/1885,15 Bottom
Thomas E. Brown,Firefighter,Olean Fire Department,02/03/1933,19 Top
Thomas E. Fitzgerald,Lieutenant,New York City Fire Department,10/22/1960,13 Top
"Thomas E. O’Brien, Jr.",Firefighter,Wilmington Fire Department,04/15/1949,  4 Top
Thomas E. Sabella,Firefighter,New York City Fire Department,09/11/2001,14 Bottom
"Thomas Farrell, III",Firefighter,New York City Fire Department,10/28/1953,14 Top
Thomas F. Brennan,Firefighter,New York City Fire Department,02/26/1920,  6 Top
Thomas F. Carrigan,Firefighter,Syracuse Fire Department,05/05/1923,  6 Top
Thomas F. Carrigan,Battalion Chief,New Rochelle Fire Department,09/25/1961,12 Bottom
Thomas Felli,1st Assistant Chief,Roslyn Fire Department,07/21/1964,10 Top
Thomas Felly,Firefighter,Roslyn Fire Department,07/21/1945,17 Bottom
Thomas F. Halpin,Firefighter,New York City Fire Department,03/26/1906,  1 Bottom
Thomas F. Kain,Lieutenant,New York City Fire Department,01/12/1931,21 Top
Thomas F. Kearns,Captain,New York City Fire Department,04/12/1917,  3 Top
Thomas F. Lennon,Firefighter,New York City Fire Department,01/06/1907,  6 Bottom
Thomas F. Madigan,Firefighter,New York City Fire Department,04/27/1904,  3 Bottom
Thomas F. Maher,Firefighter,New York City Fire Department,09/03/1956,13 Top
Thomas F. Munroe,Captain,New York City Fire Department,02/26/1968,  9 Bottom
Thomas F. Phillips,Firefighter,New York City Fire Department,01/10/1908,  6 Bottom
Thomas F. Shortell,Firefighter,New York City Fire Department,03/08/1945,16 Top
Thomas F. Taylor,Firefighter,New York City Fire Department,06/03/1945,16 Top
"Thomas Gambino, Jr.",Firefighter,New York City Fire Department,09/11/2001,  5 Bottom
Thomas G. O’Hagan,Lieutenant,New York City Fire Department,09/11/2001,15 Bottom
Thomas Graham,Firefighter,Troy Fire Department,02/01/1860,17 Bottom
Thomas G. Roberts ,Lieutenant ,New York City Fire Department ,08/12/2009,  2 Bottom
Thomas G. Schoales,Firefighter,New York City Fire Department,09/11/2001,16 Bottom
Thomas H. Carmody,Ladderman,Rochester Fire Department,12/06/1913,  4 Bottom
Thomas Herlihy,Captain,New York City Fire Department,01/01/1955,13 Top
Thomas H. Geraghty,Firefighter,Rhinebeck Fire Department,08/01/1932,  1 Bottom
Thomas H. O’Connor,Driver,Albany Fire Department,05/06/1892,14 Bottom
Thomas Horton,Firefighter,New York City Fire Department,01/01/1837,20 Bottom
Thomas H. Pierce,Firefighter,Troy Fire Department,12/25/1851,19 Bottom
Thomas Irvin,Firefighter,New York City Fire Department,11/02/1865,17 Bottom
Thomas J. Burley ,Firefighter ,Youngstown Volunteer Fire Company,06/18/2013,11 Bottom
Thomas J. Connolly,Firefighter,New York City Fire Department,04/10/1924,  5 Top
Thomas J. Cooney,Firefighter,New York City Fire Department,03/10/1902,13 Bottom
Thomas J. Corbalis,Firefighter,Yonkers Fire Department,01/31/1943,16 Top
Thomas J. Dougherty,Firefighter,New York City Fire Department,02/20/1880,16 Bottom
Thomas J. Dugan,Acting District Chief,Syracuse Fire Department,02/03/1939,17 Top
Thomas J. Earl,Firefighter,New York City Fire Department,02/08/1976,  8 Top
Thomas J. Farino,Captain,New York City Fire Department,09/11/2001,  6 Top
Thomas J. Farrell ,Firefighter ,New York City Fire Department ,03/25/2016,  2 Bottom  
Thomas J. Fina,Firefighter,Saranac Lake Fire Department,06/27/1954,14 Top
Thomas J. Foley,Firefighter,New York City Fire Department,09/11/2001,  1 Top
Thomas J. Greaney ,Lieutenant ,New York City Fire Department  ,01/05/2014,  4 Top
Thomas J. Hetzel,Firefighter,New York City Fire Department,09/11/2001,  2 Top
Thomas J. Hitter,Firefighter,New York City Fire Department,10/31/1938,18 Top
Thomas J. Kelly ,Firefighter ,New York City Fire Department ,01/03/2016,  5 Top
Thomas J. Kennedy,Firefighter,New York City Fire Department,09/11/2001,17 Bottom
Thomas J. Kuveikis,Firefighter,New York City Fire Department,09/11/2001,16 Bottom
Thomas J. Mahoney,Firefighter,Williston Park Fire Department,05/07/1988,11 Top
Thomas J. McCann,Firefighter,New York City Fire Department,09/11/2001,18 Bottom
Thomas J. McManus,Firefighter,New York City Fire Department,12/16/1913,  4 Bottom
Thomas J. Osborn,Firefighter,New York City Fire Department,03/03/1941,17 Top
Thomas J. Rodgers,Hoseman,Albany Fire Department,05/04/1935,19 Top
Thomas J. Thompson ,Captain ,New York City Fire Department ,08/17/2015,19 Top
Thomas J. Tobin,Firefighter,Tyrone Fire Department,07/18/1992,11 Top
Thomas J. Walters,Firefighter,New York City Fire Department,07/26/1957,13 Top
Thomas Kowalski,Firefighter,Dix Hills Fire Department,01/01/1978,  9 Top
Thomas Lawson,Firefighter,Buffalo Fire Department,01/01/1977,  8 Bottom
Thomas Ledwich,Hoseman,Albany Fire Department,07/31/1930,  4 Top
Thomas L. Jacobus,Firefighter,New York City Fire Department,11/13/1880,18 Bottom
Thomas Lynch,Marine Engineer,Buffalo Fire Department,07/27/1928,  5 Top
Thomas Malaney,Firefighter,Westbury Fire Department,07/11/1926,  5 Top
Thomas M. Butler,Firefighter,New York City Fire Department,09/11/2001,  1 Top
Thomas McNamera,Firefighter,New York City Fire Department,01/23/1907,  6 Bottom
Thomas Meehan,Lieutenant,New York City Fire Department,04/03/1938,18 Top
Thomas Mingione,Firefighter,New York City Fire Department,09/11/2001,17 Top
Thomas Mitchell,Lieutenant,New York City Fire Department,11/28/1913,  4 Bottom
Thomas M. McCormack,Chief,Watervliet Fire Department,12/01/1997,10 Top
Thomas M. Rathbun,Firefighter,Rochester Fire Department,12/21/1827,21 Bottom
"Thomas P. Cullen, III",Firefighter ,New York City Fire Department,09/11/2001,  3 Top
Thomas P. DeAngelis,Battalion Chief,New York City Fire Department,09/11/2001,  5 Top
Thomas P. Eglinton,Firefighter,New York City Fire Department,02/04/1908,  6 Bottom
Thomas P. Hannafin,Firefighter,New York City Fire Department,09/11/2001,  6 Bottom
Thomas P. Holohan,Firefighter,New York City Fire Department,09/11/2001,  4 Top
Thomas P. McEvoy,Firefighter,Newport Fire Department,02/24/1980,  8 Bottom
Thomas P. Mulvaney,Captain,New York City Fire Department,01/16/1959,13 Top
Thomas P. Sheridan,Lieutenant,New York City Fire Department,05/28/1971,  7 Top
"Thomas Razzano, Sr.",Firefighter,Freeport Fire Department,01/04/1989,11 Top
Thomas R. Dore,Lieutenant,New York City Fire Department,06/05/1955,14 Top
Thomas R. Godfrey,Firefighter,New York City Fire Department,05/23/1892,14 Bottom
Thomas R. Gott,Firefighter,Livonia Fire Department,02/28/1986,12 Top
Thomas Ringlehan,Firefighter,Cornwall-on-Hudson Fire Department,06/12/1973,  7 Top
